
 NAM_army_effort:0 "Army Effort"
 NAM_army_effort_desc:0 "Despite the increasing possibilities of aerial and naval warfare, ground combat is still key in tomorrow's wars. With preparation, we can avoid reliving the hell of the trenches."
 NAM_equipment_effort:0 "Equipment Effort"
 NAM_equipment_effort_desc:0 "The limits for what equipment can be carried by infantry are constantly being pushed. We will focus on giving our troops the best tools available."
 NAM_motorization_effort:0 "Motorization Effort"
 NAM_motorization_effort_desc:0 "Mobility and protection are crucial to get infantry into and out of the field safely. Focusing on these developments will allow us to take action quickly."
 NAM_doctrine_effort:0 "Doctrine Effort"
 NAM_doctrine_effort_desc:0 "The military doctrines that defined ground combat in the Great War are outdated. We must put our greatest minds to the task of shaping the military thought of tomorrow."
 NAM_equipment_effort_2:0 "Equipment Effort II"
 NAM_equipment_effort_2_desc:0 "We will continue our efforts to ensure our infantry and support troops are armed with the best possible equipment of our time."
 NAM_mechanization_effort:0 "Mechanization Effort"
 NAM_mechanization_effort_desc:0 "Rethinking the possibilities of motorized infantry, we can push the limits of what vehicles can be constructed today."
 NAM_doctrine_effort_2:0 "Doctrine Effort II"
 NAM_doctrine_effort_2_desc:0 "The battlefield has changed not just in the interbellum years, but over the course of recent conflicts. We must continuously reevaluate our doctrines to reflect this."
 NAM_equipment_effort_3:0 "Equipment Effort III"
 NAM_equipment_effort_3_desc:0 "Instead of imitating or buying foreign equipment, we should aim to become world-leading in infantry weapons."
 NAM_armor_effort:0 "Armor Effort"
 NAM_armor_effort_desc:0 "Applying what we have learned from mechanizing our infantry, we can improve our armored vehicles as well."
 NAM_special_forces:0 "Special Forces"
 NAM_special_forces_desc:0 "We have need of elite forces; mountain troops and paratroopers should be our priority."
 NAM_aviation_effort:0 "Aviation Effort"
 NAM_aviation_effort_tt:0 "Not enough building slots for §YAir Base§!"
 NAM_aviation_effort_desc:0 "Nowhere is technological advances more rapid than in aerial warfare. Aviation is a field any modern nation must master."
 NAM_fighter_focus:0 "Fighter Focus"
 NAM_fighter_focus_desc:0 "We have not seen that last of dogfights in the Great War. Keeping ahead in the development of fighter planes will give us an edge in the future."
 NAM_bomber_focus:0 "Bomber Focus"
 NAM_bomber_focus_desc:0 "When people of the future speak of the horror to today's wars, fire raining from the skies will prominently feature. We will do our best to ensure those stories are told by our enemies."
NAM_aviation_effort_2:0 "Aviation Effort II"
 NAM_aviation_effort_2_desc:0 "Further advances in aviation will be necessary to integrate our air force well with other branches of the military."
 NAM_CAS_effort:0 "CAS Effort"
 NAM_CAS_effort_desc:0 "A modern army needs support from vehicles not only on the ground, but also in the air."
 NAM_rocket_effort:0 "Rocket Effort"
 NAM_rocket_effort_desc:0 "Rocket and jet engines allow for unprecedented speeds for unmanned and manned vessels alike. Pioneering these technologies will allow us to take the enemy by surprise."
 NAM_NAV_effort:0 "NAV Effort"
 NAM_NAV_effort_desc:0 "Just as the new naval warfare takes place in part beneath the water's surface, part of it takes place in the air above the waters."
 NAM_naval_effort:0 "Naval Effort"
 NAM_naval_effort_tt:0 "Not enough building slots for §YNaval Dockyards§!"
 NAM_naval_effort_desc:0 "The expansion of our navy should be our first priority. Assign all available resources to new Dockyards and research into light surface ships."
 NAM_flexible_navy:0 "Flexible Navy"
 NAM_flexible_navy_desc:0 "Reinventing naval warfare to account for the advances in submarine technology will allow us to strike efficiently against enemy convoys."
 NAM_large_navy:0 "Large Navy"
 NAM_large_navy_desc:0 "Adapting our naval doctrines to accommodate large ships and ensuring the safety of our trade convoys will teach us much about what sort of ships we need."
 NAM_submarine_effort:0 "Submarine Effort"
 NAM_submarine_effort_desc:0 "Submarine warfare is the most exciting naval development since the invention of the torpedo boat. We would do well to not just protect against submarines, but also use them against enemy shipping."
 NAM_cruiser_effort:0 "Cruiser Effort"
 NAM_cruiser_effort_desc:0 "Before making forays into advanced battleship research, the smaller cruisers are in need of replacement."
 NAM_destroyer_effort:0 "Destroyer Effort"
 NAM_destroyer_effort_desc:0 "Studying the design and strategic use of submarines, we have also learned how to counter those strategies. Destroyers will be crucial for this."
 NAM_capital_ships_effort:0 "Capital Ship Effort"
 NAM_capital_ships_effort_desc:0 "The nation with the most battleships will rule the oceans. Battleships and carriers represent the old and the new in naval superiority."
 NAM_industrial_effort:0 "Industrial Effort"
 NAM_industrial_effort_desc:0 "Focus all our political efforts on building up the civilian industry in a great leap forward."
 NAM_industrial_effort_2:0 "Industrial Effort II"
 NAM_industrial_effort_2_desc:0 "With iron will and a relentless work ethic, we can mobilize the people in another great industrial effort."
